# Project C: The Clouds — Resources Database
# Generated by Tools → ProjectC → Resources → CSV Import/Export
# This file is the source of truth. .asset files are GENERATED from it.

# block=inventory
itemName,itemType,description,maxStack,weightKg
Automatic Clutch Plumb,Equipment,Сменные грифели внутри корпуса. Подача нажатием.,5,0.5
Aviation Plywood,Resources,Многослойная берёзовая фанера для внутренних переборок кораблей.,50,1.0
Award Certificate,Equipment,Форма НП-11. Представление к награде.,5,0.5
Backgammon,Equipment,Деревянные. С фишками и костями.,5,0.5
Badge Mechanics Course Graduate,Equipment,Литая латунь. Эмаль синяя.,5,0.5
Baked Milk,Equipment,"Топлёная, с коричневой пенкой.",5,0.5
Baking Pan,Equipment,"Прямоугольная, стальная.",5,0.5
Baking Sheet,Equipment,"Стальной, с бортами.",5,0.5
Balaclava Mask,Resources,"Шерстяная, с прорезями для глаз и рта.",50,1.0
Balance Scales,Equipment,На 2 кг. Чугунные гири.,5,0.5
Ball Valve 3/4,Tech,"Латунный, для трубопроводов.",5,0.5
Bamboo Scarf,Equipment,Лёгкий шарф из бамбукового волокна. Пропускает воздух.,5,0.5
Barber Scissors,Equipment,Из нержавеющей стали.,5,0.5
Barometric Altimeter,Food,Высотомер до 5000 м. Для пилота.,10,0.3
Barrel Pickles,Equipment,Хрустящие. Подаются к крепким напиткам.,5,0.5
Baton-Whip,Equipment,Пружинящая трость с утяжелённым наконечником.,5,0.5
Bay Leaf,Equipment,Сушёный. Пачка 20 г.,5,0.5
Bayonet for GS-1 Rifle,Equipment,Клинок с кремальерой. Крепится под стволом.,5,0.5
Bearing Puller,Equipment,Двух-трёхлапый.,5,0.5
Beer Primium Stille,Food,"Светлый лагер. 4,8 %. Самое популярное пиво.",10,0.3
Beeswax,Tech,"Для натирки бумаг, пропитки пламбов и герметизации фляг.",20,1.0
Bench Vise,Equipment,"Стальные, ширина губок 120 мм. Крепление к верстаку.",5,0.5
Berry Kissel,Food,"Густой, холодный. Десерт.",10,0.3
Birth Certificate,Equipment,Форма СОЛ-1.,5,0.5
Black Ground Coffee Lighthouse,Food,Сильная обжарка. Мелкий помол. В вакуумной пачке.,10,0.3
Black Ink,Equipment,Стеклянный флакон 50 мл.,5,0.5
Black Leaf Tea Primium,Food,"Крупнолистовой, крепкий. В жестяной банке.",20,0.5
Blotting Paper,Tech,Бумага для осушения чернил. Лист 10×15.,5,0.5
Boiled Condensed Milk,Food,В жестяных банках. Десерт и добавка к кофе.,10,0.3
Book Flight Tech Journal No.4 2089,Tech,С чертежами нового ГМАГ-9.,5,0.5
Book MAG Generator Design,Tech,Учебник для техникумов ГСз.,5,0.5
Book Maps and Compasses,Tech,Навигационный самоучитель.,5,0.5
Book Poetry Above the Clouds,Equipment,Сборник поэзии 2070 г.,20,1.0
Book Territories Cookbook,Equipment,304 стр. В твёрдой обложке.,5,0.5
Borosilicate Glass,Resources,Термостойкое стекло для иллюминаторов и лабораторной посуды.,50,1.0
Bottle Crate,Equipment,На 12 бутылок.,5,0.5
Bottled Drinking Water,Equipment,"Стеклянная бутылка 0,75 л. Из источников Примума.",5,0.5
Bourdon Tube Pressure Gauge,Tech,Для парогенератора. До 16 атм.,5,0.5
Bowler Hat,Equipment,Классический немецкий котелок. Носится чиновниками ГУ.,5,0.5
Box Grater,Equipment,"Металлическая, с крупными отверстиями.",5,0.5
Brass Knuckles,Equipment,Тяжёлый латунный кастет. Носят грузчики и охрана баров.,5,0.5
Brass Sheet,Resources,"Жёлтый сплав для декоративных панелей, дверных ручек, шильдов.",50,1.0
Brass Thimble,Equipment,Защита пальца при шитье вручную.,5,0.5
Brass-Buckled Suitcase,Equipment,"Дорожный чемодан, обитый медью. Используется для перевозки личных вещей",5,0.5
Bread Kvass,Food,"Тёмный, с мятой. Бочкового розлива.",10,0.3
Breathing Tube,Medical,Воздуховод для реанимации.,10,0.1
Brilliant Green Solution,Medical,Флакон 25 мл.,10,0.1
Buckwheat Porridge with Butter,Food,Традиционный гарнир. В термосе держит тепло 6 часов.,20,0.5
Bulletin Board,Equipment,"Информационный стенд с объявлениями о работе, заказах и заданиях",5,0.5
Burlap Sack 50kg,Equipment,Для муки и крупы.,5,0.5
Burn Cream Panthenol,Equipment,Для термических и мезиевых ожогов.,5,0.5
Butter Pancakes,Food,Кружевные. Стопка 5 шт.,20,0.5
Butter Pretzel,Food,Сдобный крендель с крупной солью. Уличная еда.,10,0.3
Cabbage Pie,Food,Закрытый пирог.,10,0.3
Cabernet Sauvignon Mont-Modit 2089,Food,Элитное вино урожая 2089 года. Подаётся в хостелах и ресторанах,10,0.3
Cabin Slippers,Equipment,Мягкие войлочные для передвижения внутри корабля.,5,0.5
Cable Clamp Simplex,Equipment,Винтовой. 3 размера.,5,0.5
Cable Swager,Equipment,"Стальная, под диаметр.",5,0.5
Cable Thimble,Equipment,"Стальной, треугольный.",5,0.5
Cafeteria Menu Buffet No.5,Tech,Отпечатано на плотной бумаге.,20,1.0
Camera Secundus Reporter,Equipment,"Плёночный, механический. Формат 6×9.",5,0.5
Canning Lid,Equipment,"Металлическая, с резинкой. 20 шт.",5,0.5
Canning Machine,Food,"Ручная, для консервирования.",10,0.3
Canopy Awning,Equipment,"Парусиновый, 3×3 м. Для стоянки на угодьях.",5,0.5
Canvas Apron,Tech,Для сварки и работы с мезием.,20,1.0
Canvas Backpack 40L,Equipment,С одним отделением.,5,0.5
Canvas Tape Measure 20m,Equipment,В жёстком корпусе. Шкала с обоих сторон.,20,1.0
Canvas Tarpaulin,Resources,"Грубая льняная ткань с восковой пропиткой. Для чехлов, тентов, палаток.",50,1.0
Canvas Tent Patch,Resources,"Круглая, набор 5 шт. Разных диаметров.",10,0.5
Caramel Antigravka,Antigrav,Леденцовая карамель в обёртках с изображением парома.,10,0.5
Carbine Secundus Repeater,Tech,Облегчённая винтовка с магазином на 5 патронов. Для экипажей.,5,0.5
Carbon-Antigrav Composite,Antigrav,Экспериментальный материал. Поле + прочность.,10,0.5
Cargo Acceptance Act,Equipment,Товарная накладная. 2 экземпляра.,5,0.5
Cargo Coveralls,Equipment,Цельнокроеный с наплечными лямками. Светоотражающие полосы.,5,0.5
Cargo Lashing Strap,Equipment,С храповым механизмом.,5,0.5
Cargo Manifest,Equipment,Документ на партию груза.,5,0.5
Cargo Net,Equipment,Верёвочная. Для сыпучих грузов.,5,0.5
Cargo Power of Attorney,Equipment,Заверяется в порту.,5,0.5
Cargo Ramp,Equipment,"Алюминиевая, 6 м. Для погрузки контейнеров.",5,0.5
Cargo Sling,Equipment,"Текстильная, 3 м. Грузоподъёмность 2 т.",5,0.5
Carpenter's Axe,Equipment,"Лезвие 1 кг, топорище 60 см.",5,0.5
Cast Iron Bollard,Resources,"Парный, для швартовки.",50,1.0
Cast Iron Frying Pan,Equipment,Диаметр 30 см. С длинной ручкой.,20,1.0
Cast Iron Iron,Resources,Нагревается на плите. Вес 3 кг.,50,1.0
Cast Iron Pot,Equipment,Для тушёных блюд.,20,1.0
Cast Iron Weight Set,Resources,1 г – 1 кг.,50,1.0
Casual Jacket,Equipment,Мягкая куртка из вельвета для отдыха в каютах и хостелах.,5,0.5
Caustic Alkali,Food,Для нейтрализации и промывки мезиевого оборудования.,20,0.5
Center Punch,Equipment,Для центровки отверстий под сверление.,5,0.5
Ceramic Decanter,Equipment,1 л. Для браги. С клеймом мастера.,5,0.5
Ceramic Mug Primium,Food,С рисунком парома.,10,0.3
Certificate For Long Service,Equipment,С подписью главы ГСз.,5,0.5
Cervical Collar,Equipment,Для фиксации при травме.,5,0.5
Chain Guardrail,Equipment,Ограждение палубы. 10 м.,5,0.5
Chalk Line,Equipment,Хлопковый шнур в коробке с синькой. Для отбивки линий.,5,0.5
Cheese Danish,Food,"Сдобная, открытая.",10,0.3
Cherry Preserves,Food,Косточки удалены. К чаю.,10,0.3
Cherry Strudel,Food,Слоёное тесто. Посыпан сахарной пудрой.,10,0.3
Chewing Tobacco,Equipment,"Порционный, бездымный. Для зон с запретом курения.",5,0.5
Chewy Marmalade,Food,Фруктовые дольки. Детское лакомство.,10,0.3
Chicken Eggs,Equipment,От птицеферм на фермерских угодьях. 10 шт. в лотке.,5,0.5
Chicken Noodle Soup,Food,Бульон с лапшой и куриными волокнами. В термосе.,10,0.3
Chicory,Food,"Напиток, напоминающий кофе. Без кофеина.",10,0.3
Children's Coverall,Food,С капюшоном и нашивками паромов.,10,0.3
Children's Mittens,Equipment,Вязаные с рисунком «снежинка». Популярны на фермерских угодьях.,5,0.5
Chronometer Case,Tech,"Деревянный, обитый бархатом.",5,0.5
Churchkhela,Food,Восточная сладость из виноградного сока и орехов.,10,0.3
Cigar Box,Equipment,"Кедровая, с крышкой.",5,0.5
Cigarette Paper,Tech,Тонкая. Для самокруток. Книжка 50 листков.,5,0.5
Cigarettes,Equipment,"Табачные изделия, распространённые среди жителей Новой Цивилизации",5,0.5
Cigarettes GS-Standard,Equipment,"Крепкие, без фильтра. В картонной пачке.",5,0.5
Cigarettes Mystery,Food,"Тонкие, с фильтром. Ментоловые.",10,0.3
Cigars Secundus Prima,Equipment,"Кубинский табак, скрученный вручную.",5,0.5
Cinnamon Bun,Food,Слоёная с коричной посыпкой. Подаётся к кофе.,10,0.3
Cipher Notebook,Equipment,С отрывными листами. Кожаный.,5,0.5
Clamp,Equipment,"Винтовая, раскрытие 150 мм.",5,0.5
Clay Pitcher,Resources,2 л. Для воды.,10,0.5
Clothes Brush,Equipment,С деревянной ручкой.,5,0.5
Clothes Hanger,Equipment,"Деревянная, с перекладиной.",5,0.5
Clothesline,Equipment,"Пеньковая, 10 м.",5,0.5
Coal Bucket,Equipment,"Стальное, 8 л.",5,0.5
Cocktail Ferryman,Food,Ром + сок + корица. Горячий.,10,0.3
Cocktail Grumpy Bath,Tech,"Знаменитый алкогольный коктейль, подаётся в барах городов",5,0.5
Cocktail Kiss-Missy,Food,Джин + лимон + сахар + лёд. В барах Торговой аллеи.,10,0.3
Cocktail Veil,Food,Водка + черничный ликёр + сок. Тёмно-фиолетовый.,10,0.3
Cocoa Powder,Food,С молоком — детский завтрак.,10,0.3
Coffee Pot,Food,"Медный, лужёный изнутри.",10,0.3
Coffee Tin,Food,250 г. С ключом для открывания.,10,0.3
Colander,Equipment,"Алюминиевый, с ручками.",5,0.5
Cold Chisel,Equipment,Длина 200 мм. Закалка до 58 HRC.,5,0.5
Collapsible Kayak Paddle,Equipment,Аварийное средство движения.,5,0.5
Collectible Stamp Farms 2089,Equipment,Серия из 6 штук. В альбоме.,5,0.5
Collectible Stamp Ferries,Food,Серия из 8 штук. Разные типы.,10,0.3
Colored Glass Plumb,Resources,Красный грифель для маркировки стекла и керамики.,50,1.0
Colored Plumb Pencil,Equipment,"Красный, синий, зелёный. Для пометок на картах.",5,0.5
Colorful Scarves,Equipment,Шерстяные шарфы разных цветов. Популярный аксессуар и элемент одежды для защиты от холода,5,0.5
Combination Pliers,Equipment,С изолированными ручками. Длина 200 мм.,5,0.5
Commander's Map Case,Equipment,"Кожаная, с прозрачным верхом для карты. Ремень через плечо.",5,0.5
Commemorative Coin First Ferry,Food,Памятная. К 50-летию рейса Примум-Секунд.,10,0.3
Compass Card,Tech,"Сменная, с подсветкой.",5,0.5
Concealed Carry Holster,Equipment,Кожаная кобура под мышку. Для «Хофман-9».,5,0.5
Construction Antigrav AG-3,Antigrav,"Низкая степень очистки, дешёвый. Идёт на опоры платформ, балки, арматуру фермерских угодий.",10,0.5
Contact Cleaner Spray,Tech,"Спиртовой, в аэрозольном баллончике. Для чистки МАГ.",5,0.5
Contact Tester,Equipment,Прозвонка цепей. Со световой и звуковой индикацией.,5,0.5
Container Deck Platform,Equipment,2×2 м. Крепление к палубе.,5,0.5
Container Lock,Equipment,"Поворотный, с рукояткой.",5,0.5
Cooling Coil,Equipment,Медная трубка. Для конденсации мезия.,5,0.5
Copper Wire,Tech,Электротехническая медь для обмоток МАГ и силовых кабелей.,20,1.0
Copper Wire Coil,Equipment,"Моток 100 м, диаметр 1,5 мм.",5,0.5
Cord Nylon,Resources,Для шинных кордов и строп.,10,0.5
Corkscrew,Equipment,Инструмент для открывания бутылок,5,0.5
Corrugated Cardboard Box,Equipment,60×40×30 см. Одноразовая.,20,1.0
Cottage Cheese Casserole,Equipment,Со сметаной. Столовая порта.,5,0.5
Cotton Electrical Tape,Equipment,В рулоне 20 м. Для изоляции контактов.,5,0.5
Cotton Mattress,Equipment,Толщина 10 см. Размер 190×80.,5,0.5
Cotton Sheet,Equipment,"Белая. Размер 2×1,5 м.",5,0.5
Cough Lozenges,Equipment,Мятно-эвкалиптовые. Металлическая коробочка.,5,0.5
Countersink Bit,Equipment,Для обработки отверстий под заклёпки.,5,0.5
Court Summons,Equipment,Гербовый бланк.,5,0.5
Cover Tarp,Resources,6×4 м. С люверсами по краям. Для груза на палубе.,50,1.0
Craftsman's Handbook,Equipment,Цены на услуги и материалы.,5,0.5
Cramer Wire Splint,Equipment,Для фиксации переломов.,5,0.5
Cranberry Juice,Food,Освежающий. С лёгкой кислинкой.,10,0.3
Crispy Waffles,Equipment,Две тонкие вафли с прослойкой варёной сгущёнки.,5,0.5
Crossbow,Equipment,Standard crossbow. Bolts deal moderate damage at range.,1,0.1
Crucible Tongs,Equipment,"Стальные, с длинными ручками.",5,0.5
Crystals,Resources,Технологические кристаллы для новых разработок техники. Заменяют традиционные компоненты,10,0.5
Cut-Glass Old Fashioned,Food,Тяжелый гранёный стакан для виски и крепкого алкоголя,10,0.3
Cutting Board,Equipment,"Деревянная, 40×25.",5,0.5
Dark Beer Secundus Brune,Food,"Плотное, с карамельным привкусом.",10,0.3
Dark Chocolate Himalayan,Food,Какао 75 %. Производство из импортного сырья.,10,0.3
Deck Hawse,Equipment,Для прохода троса через палубу.,5,0.5
Desk Ashtray,Equipment,"Керамическая, тяжёлая.",5,0.5
Desk Calendar-Diary,Equipment,На 2091 год. С типами облаков.,5,0.5
Desk Lighter,Equipment,"Металлическая, с фитилём.",5,0.5
Dice,Equipment,"Костяной, 6 граней. С точками.",5,0.5
Die M6,Equipment,Для нарезания резьбы на стержнях.,5,0.5
Dinner Plate,Equipment,Диаметр 25 см.,5,0.5
Disposable Mask,Equipment,"Бумажная, на резинке. 10 шт.",5,0.5
Dominoes,Equipment,Костяное. 28 фишек.,5,0.5
Door Hook,Equipment,"Латунный, с фарфоровой ручкой.",5,0.5
Doormat,Equipment,Ворсовый. С надписью «Добро пожаловать».,5,0.5
Double-Pole Switch,Tech,На 25 А. Крепится на панель.,5,0.5
Down Blanket,Equipment,"Тёплое одеяло с пуховым наполнителем, распространённая постельная принадлежность",5,0.5
Drawing Paper,Tech,"Плотная, формат А2. Рулон 20 м.",5,0.5
Drawing Pen,Equipment,Для черчения тушью.,5,0.5
Dried Fruit Compote,Food,В термос походный. Сахар добавлен.,10,0.3
Dried Fruit Infusion,Food,Компот на меду. Для обедов.,10,0.3
Dry Apple Cider,Food,Слабоалкогольный. Шипучий.,10,0.3
Dry Gin London Bridge,Food,Импортный через восточные угодья. Можжевельник.,10,0.3
Dry White Table Wine,Food,"Лёгкое, цитрусовые ноты.",20,0.5
Dual-Fang Respirator,Equipment,Усиленная модель респиратора с двумя фильтрами для тяжёлой атмосферы Квартуса,5,0.5
Duct Fan,Equipment,Вытяжка для респираторных зон.,5,0.5
Duralumin Aluminum,Resources,Лёгкий сплав для ранних моделей летательных аппаратов. Вытесняется антигравием.,50,1.0
Duralumin Hull Plating,Equipment,Лист 2×1 м. Для ремонта корпуса.,5,0.5
Dustpan,Equipment,"Металлический, с короткой ручкой.",5,0.5
Duty Schedule,Equipment,Настенная доска с карточками.,5,0.5
Ear Drops,Medical,Противовоспалительные.,10,0.1
Easter Cake,Food,Высокий сдобный хлеб с изюмом и глазурью.,10,0.3
Echo Sounder,Tech,Измерение глубины до 200 м. Для редких полётов вниз.,5,0.5
Eclairs,Equipment,Сладкая выпечка. Подаётся в кафе «Быстрые завтраки Марго»,5,0.5
Elastic Band,Resources,Моток 5 м. Для пояса.,10,0.5
Elastic Bandage,Medical,Для компрессии при растяжении.,10,0.1
Electric Hoist 500kg,Tech,С приводом от МАГ.,5,0.5
Electric Kettle,Food,2 л. Автоматическое отключение.,10,0.3
Electric Motor MAG-D 0.5kW,Tech,Для вентиляции и насосов.,5,0.5
Electric Soldering Iron 60W,Tech,С медным жалом. Питание от МАГ.,5,0.5
Embroidered Camisole,Equipment,Расшитый золотой нитью жилет для парадных приёмов.,5,0.5
Emergency Blanket,Equipment,"Фольгированное. 2×1,6 м.",5,0.5
Enamel Mug 0.3L,Equipment,Стандартная судовая.,5,0.5
Enamel Pot 3L,Equipment,С крышкой.,5,0.5
Engine Room Log,Tech,Сменный. Запись параметров МАГ.,5,0.5
Engineer's Cap,Equipment,С твёрдым верхом. Латунная бляха.,5,0.5
Engineer's Hammer 500g,Equipment,"Квадратный боёк, ручка деревянная.",5,0.5
Engineer's Square,Equipment,"Стальной угол 90°. С пяткой. Точность 0,1 мм.",20,1.0
Equipment Form,Equipment,История ремонтов и замен деталей.,5,0.5
Explosive Rivet,Equipment,Для монтажа обшивки. 100 шт.,5,0.5
Eye Ointment,Medical,Тетрациклиновая 1 %. В тубе.,10,0.1
Eye Wash Solution,Medical,Стерильный физиологический.,10,0.1
Faceted Bottle 0.25L,Food,Для шнапса. Пузатая.,10,0.3
Farm Timber,Resources,Сосна и ель с горных плантаций. Строительный пиломатериал низкой категории.,50,1.0
Feather Pillow,Equipment,Набитая пухом. 70×70.,5,0.5
Fee Payment Receipt,Equipment,Гербовая марка + штамп порта.,5,0.5
Fermented Soybean Paste,Equipment,Паста мисо. Восточная приправа.,5,0.5
Ferry,Tech,Пассажирское транспортное средство между фермерскими угодьями и городами. Работает на антигравиевой тяге и парогенераторах. Основной вид общественного транспорта,5,0.5
Ferry Captain Patch,Food,Три полосы с крыльями.,10,0.3
Ferry Insurance Policy,Food,На случай аварии.,10,0.3
Ferry Jackpot Lottery,Food,Розыгрыш раз в полугодие.,10,0.3
Ferry Waybill,Food,"Маршрут, время, пилот.",10,0.3
Fiber Suitcase,Equipment,"Лёгкий, с пряжками.",5,0.5
Fiberboard,Tech,Прессованная бумага для чемоданов.,5,0.5
Field Binoculars 7x50,Equipment,С центральной фокусировкой. Водозащищённый.,5,0.5
Field Borscht,Food,Свёкольный суп с мясом и сметаной. Традиционное блюдо восточных угодий.,10,0.3
Field Telephone with Spool,Tech,Проводная связь на 3 км. Для экипажа.,5,0.5
Figured Gingerbread,Food,В форме парома. Глазурь цветная.,10,0.3
File Folder,Equipment,"Картонная, с тесёмками.",5,0.5
Filter-Grade Silk,Resources,Тонкая синтетическая ткань с антимезиевой пропиткой. Для респираторных картриджей.,50,1.0
Fingerless Gloves,Equipment,Для работы с приборами в холоде.,5,0.5
Fireproof Ceramics,Tech,Для футеровки парогенераторов и мезиевых горелок.,20,1.0
Fish Canned in Oil,Food,Сардина. Производство южных угодий.,10,0.3
Fisherman's Boots,Food,"Высокие до бедра, прорезиненные. Для работы у контейнеров с водой.",10,0.3
Flashing Signal Light,Equipment,Красный свет. Для аварийной сигнализации.,5,0.5
Flat Bastard File,Equipment,Длина 300 мм. Для грубой обдирки.,5,0.5
Flat Chisel 20mm,Equipment,Для выборки пазов в дереве.,5,0.5
Flat Hip Flask,Equipment,"Металлическая, 250 мл.",5,0.5
Flat Screwdriver L=200,Equipment,Изолированная рукоять. Для контактов СОЛ.,5,0.5
Flight Boots,Equipment,Шнурованные ботинки с рифлёной подошвой. Кожа + брезент.,5,0.5
Flight Cap Sturm,Food,Облегающее кепи пилотов паромов. Снабжено клапанами для наушников.,10,0.3
Flight Cracker,Food,Солёное сухое печенье. 20 штук в пачке.,10,0.3
Flight Dress,Equipment,"Практичное, с карманами. Женская дорожная одежда.",5,0.5
Flight Dried Meat,Food,"Говяжья полендвица, выдержанная в специях. Не портится месяцами.",10,0.3
Flight Gloves,Equipment,Короткие кожаные краги. Мех внутри. Свободные пальцы для работы с приборами.,5,0.5
Flight Jacket Primium Standard,Equipment,Кожаная куртка с меховым воротником и множеством карманов. Повседневная одежда пилотов.,5,0.5
Flight Map Primium-Secundus,Tech,Масштаб 1:50 000. С отметками ретрансляторов.,5,0.5
Flight Rope Ladder,Equipment,Верёвочная с перекладинами.,5,0.5
Flight Schedule,Equipment,Отрывной календарь с рейсами.,5,0.5
Flight Sheepskin Coat,Equipment,"Овчинная дублёнка, вывернутая мехом внутрь. Для высотных маршрутов.",5,0.5
Flight Stimulant Vigor,Medical,Таблетки кофеин + экстракт гуараны. 12 шт.,10,0.1
Flight Trousers,Equipment,Свободного покроя с накладными карманами на бёдрах.,5,0.5
Floor Cloth,Equipment,"Хлопковая, 50×70 см.",5,0.5
Floor Fan,Equipment,Стойка + лопасти. Для мастерской.,5,0.5
Flour Chest,Equipment,"Деревянный, 100 кг.",5,0.5
Fog Whistle,Equipment,Пневматический. С приводом от компрессора.,5,0.5
Folding Bipod,Equipment,Для винтовки ГС-1. Крепление на цевьё.,5,0.5
Folding Camp Table,Equipment,Дюралевый. Столешница 60×80.,5,0.5
Folding Chair Pilot,Equipment,Брезентовый. С подлокотниками.,5,0.5
Folding Couch,Equipment,Парусиновая. Для медосмотра экипажа.,5,0.5
Folding Fan,Equipment,Бамбуковый веер с росписью. Из восточных угодий.,5,0.5
Folding Knife Miner,Equipment,"Стальное лезвие, рукоять из рога. Три позиции. Универсальный.",5,0.5
Folding Magnifier,Equipment,3-кратное увеличение. В металлическом корпусе.,5,0.5
Fork,Equipment,Стальная. 4 зуба.,5,0.5
Fresh Farm Vegetables,Food,"Огурцы, помидоры, редис с тепличных плантаций.",10,0.3
Fritters with Jam,Food,Пышные. Подаются с чаем.,10,0.3
Frostbite Cream Barrier,Equipment,Жирный крем в тубе.,5,0.5
Fruit Sherbet,Food,Твёрдая карамель с орехами.,10,0.3
Fuel Hose,Equipment,Мезиестойкий. Внутренний слой из тефлона.,5,0.5
Full-Face Respirator,Equipment,С панорамным стеклом. Класс защиты А1.,5,0.5
Fur Boots,Equipment,Сапоги из оленьего меха. Полярные маршруты.,5,0.5
Fur Muff,Equipment,Цилиндрическая муфта для согревания рук. Женский аксессуар.,5,0.5
Fur Ushanka,Equipment,Тёплая шапка с опускаемыми клапанами. Одежда грузчиков и строителей.,5,0.5
Fuse Plug,Tech,На 10 А. Стеклянный корпус.,5,0.5
Galvanized Bucket,Equipment,10 л. С дужкой.,5,0.5
Galvanized Sheet Steel,Resources,"Универсальный стройматериал для крыш, обшивки, контейнеров.",50,1.0
Gangway Ladder,Equipment,Складной. 5 ступеней.,5,0.5
Gangway Stand,Equipment,"Стальная, с колёсами.",5,0.5
Gene Konda's Moonshine,Food,"Домашний алкогольный напиток, производимый Джином Конда. Популярен среди местных",10,0.3
General Arrangement Drawing,Food,Рулон. Масштаб 1:50.,10,0.3
Geological Hammer,Equipment,Острый конец для откалывания породы Секунда.,5,0.5
Geological Magnifier 10x,Equipment,"Складная, в стальной оправе.",5,0.5
