asset_path,line,category,evidence
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Melee Animations/Shaders/HumanMeleeAnimationsScene.shader",64,"shader-position-candidate","worldPos = mul(unity_ObjectToWorld, v.vertex).xyz;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Melee Animations/Shaders/HumanMeleeAnimationsScene.shader",92,"shader-position-candidate","_WorldSpaceCameraPos - i.worldPos);"
"Assets/Kevin Iglesias/IKHelperTool/Scripts/IKHelperTool.cs",33,"position-access","iKSwitch.localPosition.y * Mathf.PI * 0.5f));"
"Assets/Kevin Iglesias/IKHelperTool/Scripts/IKHelperTool.cs",41,"position-access","handEffector.position);"
"Assets/Kevin Iglesias/IKHelperTool/Scripts/IKHelperTool.cs",47,"position-access","handEffector.position);"
"Assets/Kevin Iglesias/IKHelperTool/Scripts/IKHelperToolAnimationCurve.cs",48,"position-access","handEffector.position);"
"Assets/Kevin Iglesias/IKHelperTool/Scripts/IKHelperToolAnimationCurve.cs",56,"position-access","poleTarget.position);"
"Assets/TextMesh Pro/Shaders/TMP_SDF Overlay.shader",187,"shader-position-candidate","WorldSpaceViewDir(vert)))));"
"Assets/TextMesh Pro/Shaders/TMP_SDF Overlay.shader",235,"shader-position-candidate","_WorldSpaceCameraPos.xyz - mul(unity_ObjectToWorld, vert).xyz);"
"Assets/TextMesh Pro/Shaders/TMP_SDF SSD.shader",223,"shader-position-candidate","_WorldSpaceCameraPos.xyz - mul(unity_ObjectToWorld, vert).xyz);"
"Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile Masking.shader",148,"shader-position-candidate","WorldSpaceViewDir(vert)))));"
"Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile Overlay.shader",149,"shader-position-candidate","WorldSpaceViewDir(vert)))));"
"Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile-2-Pass.shader",147,"shader-position-candidate","WorldSpaceViewDir(vert)))));"
"Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile-2-Pass.shader",329,"shader-position-candidate","WorldSpaceViewDir(vert)))));"
"Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile.shader",146,"shader-position-candidate","WorldSpaceViewDir(vert)))));"
"Assets/TextMesh Pro/Shaders/TMP_SDF.shader",187,"shader-position-candidate","WorldSpaceViewDir(vert)))));"
"Assets/TextMesh Pro/Shaders/TMP_SDF.shader",235,"shader-position-candidate","_WorldSpaceCameraPos.xyz - mul(unity_ObjectToWorld, vert).xyz);"
"Assets/TextMesh Pro/Shaders/TMP_Sprite.shader",75,"shader-position-candidate","worldPosition : TEXCOORD1;"
"Assets/TextMesh Pro/Shaders/TMP_Sprite.shader",95,"shader-position-candidate","worldPosition = v.vertex;"
"Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc",24,"shader-position-candidate","WorldSpaceViewDir(vert)))));"
"Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc",29,"shader-position-candidate","WorldSpaceViewDir(v.vertex));"
"Assets/_Project/Art/Shaders/CloudGhibli.shader",64,"shader-position-candidate","worldPos : TEXCOORD1;"
"Assets/_Project/Art/Shaders/CloudGhibli.shader",86,"shader-position-candidate","TransformObjectToWorldNormal(input.normalOS);"
"Assets/_Project/Art/Shaders/CloudGhibli.shader",87,"shader-position-candidate","worldPos = TransformObjectToWorld(positionOS);"
"Assets/_Project/Art/Shaders/CloudGhibli.shader",104,"shader-position-candidate","worldPos);"
"Assets/_Project/Art/Shaders/CloudGhibli_Outline.shader",163,"shader-position-candidate","worldPos : TEXCOORD1;"
"Assets/_Project/Art/Shaders/CloudGhibli_Outline.shader",184,"shader-position-candidate","TransformObjectToWorldNormal(input.normalOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_Outline.shader",185,"shader-position-candidate","worldPos = TransformObjectToWorld(positionOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_Outline.shader",187,"shader-position-candidate","worldPos);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV2.shader",110,"shader-position-candidate","worldPos : TEXCOORD1;"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV2.shader",132,"shader-position-candidate","TransformObjectToWorldNormal(input.normalOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV2.shader",133,"shader-position-candidate","worldPos = TransformObjectToWorld(positionOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV2.shader",135,"shader-position-candidate","worldPos);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV3.shader",104,"shader-position-candidate","worldPos : TEXCOORD1;"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV3.shader",125,"shader-position-candidate","TransformObjectToWorldNormal(input.normalOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV3.shader",126,"shader-position-candidate","worldPos = TransformObjectToWorld(positionOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV3.shader",128,"shader-position-candidate","worldPos);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV4.shader",101,"shader-position-candidate","worldPos : TEXCOORD1;"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV4.shader",122,"shader-position-candidate","TransformObjectToWorldNormal(input.normalOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV4.shader",123,"shader-position-candidate","worldPos = TransformObjectToWorld(positionOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV4.shader",125,"shader-position-candidate","worldPos);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV5.shader",89,"shader-position-candidate","worldPos : TEXCOORD1;"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV5.shader",110,"shader-position-candidate","TransformObjectToWorldNormal(input.normalOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV5.shader",111,"shader-position-candidate","worldPos = TransformObjectToWorld(positionOS);"
"Assets/_Project/Art/Shaders/CloudGhibli_OutlineV5.shader",113,"shader-position-candidate","worldPos);"
"Assets/_Project/Art/Shaders/CloudInstanced.shader",94,"shader-position-candidate","worldPos : TEXCOORD1;"
"Assets/_Project/Art/Shaders/CloudInstanced.shader",119,"shader-position-candidate","worldPos = vertexInput.positionWS;"
"Assets/_Project/Art/Shaders/CloudInstanced.shader",120,"shader-position-candidate","TransformObjectToWorldNormal(input.normalOS);"
"Assets/_Project/Art/Shaders/CloudInstanced.shader",152,"shader-position-candidate","worldPos));"
"Assets/_Project/Editor/FloatingOrigin/FloatingOriginMigrationCensus.cs",40,"network-serialization","INetworkSerializable|SerializeValue|NetworkSerialize)\b[^\n]*""),"
"Assets/_Project/Editor/FloatingOrigin/FloatingOriginMigrationCensus.cs",42,"physics-scene","PhysicsScene|LocalPhysicsMode|GetPhysicsScene|Simulate)\b[^\n]*""),"
"Assets/_Project/Editor/FloatingOrigin/FloatingOriginMigrationCensus.cs",43,"navigation","NavMesh|NavMeshAgent|NavMeshSurface|NavMeshDataInstance|NavMeshLink)\b[^\n]*""),"
"Assets/_Project/Editor/FloatingOrigin/FloatingOriginMigrationCensus.cs",183,"navigation","NavMesh"", StringComparison.Ordinal) ||"
"Assets/_Project/Editor/FloatingOrigin/FloatingOriginMigrationCensus.cs",48,"world-space-effects","TrailRenderer|LineRenderer|ParticleSystemSimulationSpace|simulationSpace|useWorldSpace|SetPositions|GetParticles|SetParticles)\b[^\n]*""),"
"Assets/_Project/Editor/FloatingOrigin/FloatingOriginMigrationCensus.cs",181,"world-space-effects","LineRenderer ||"
"Assets/_Project/Editor/FloatingOrigin/FloatingOriginMigrationCensus.cs",182,"world-space-effects","TrailRenderer || c is MeshFilter || c is SkinnedMeshRenderer ||"
"Assets/_Project/Editor/FloatingOrigin/FloatingOriginMigrationCensus.cs",49,"legacy-origin","FloatingOriginMP|WorldSceneManager|WorldStreamingManager|TotalOffset|OnWorldShifted)\b[^\n]*"")"
"Assets/_Project/Editor/GenerateSimpleCityColliders.cs",196,"spatial-member","private static Vector3 Divide(Vector3 value, Vector3 divisor)"
"Assets/_Project/Editor/GenerateSimpleCityColliders.cs",49,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Editor/GenerateSimpleCityColliders.cs",99,"position-access","transform.position,"
"Assets/_Project/Editor/GenerateSimpleCityColliders.cs",98,"point-conversion","SetPositionAndRotation("
"Assets/_Project/Editor/ShipPresetCreator.cs",37,"navigation","NavMeshSurface asset (Prefabs/Ships/)"
"Assets/_Project/Editor/ShipPresetCreator.cs",401,"navigation","NavMeshSurface>();"
"Assets/_Project/Editor/ShipPresetCreator.cs",507,"navigation","NavMesh ---"
"Assets/_Project/Editor/ShipPresetCreator.cs",530,"navigation","NavMesh: {navMeshPath}"");"
"Assets/_Project/Editor/ShipPresetCreator.cs",686,"navigation","NavMesh-DeckNavSurface_{shipName}"";"
"Assets/_Project/Editor/ShipPresetCreator.cs",688,"navigation","NavMesh-DeckNavSurface.asset"";"
"Assets/_Project/Editor/ShipPresetCreator.cs",692,"navigation","NavMeshSurface на DeckNavSurface, печёт навмеш по MainVisual+BoxCollider,"
"Assets/_Project/Editor/ShipPresetCreator.cs",705,"navigation","NavMeshSurface>();"
"Assets/_Project/Editor/ShipPresetCreator.cs",708,"navigation","NavMeshSurface не найден на DeckNavSurface."");"
"Assets/_Project/Editor/ShipPresetCreator.cs",741,"navigation","NavMesh запечён и сохранён: {assetPath}"");"
"Assets/_Project/Editor/ShipPresetCreator.cs",132,"spatial-member","public Vector3 visualScale;"
"Assets/_Project/Editor/ShipPresetCreator.cs",210,"position-access","transform.position = Vector3.zero;"
"Assets/_Project/Editor/ShipPresetCreator.cs",398,"position-access","transform.localPosition = new Vector3(0, -0.37f, 0);"
"Assets/_Project/Editor/ShipPresetCreator.cs",413,"position-access","transform.localPosition = new Vector3(0, 5.86f, 0);"
"Assets/_Project/Editor/ShipPresetCreator.cs",431,"position-access","transform.localPosition = new Vector3(0, 0.57f, -(p.visualScale.z * 0.3f));"
"Assets/_Project/Editor/ShipPresetCreator.cs",450,"position-access","transform.localPosition = new Vector3(0, 0, -(p.visualScale.z * 0.47f));"
"Assets/_Project/Editor/ShipPresetCreator.cs",470,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Editor/ShipPresetCreator.cs",476,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Editor/ShipPresetCreator.cs",554,"position-access","transform.localPosition = localPos;"
"Assets/_Project/Editor/ShipPresetCreator.cs",584,"position-access","transform.localPosition = localPos;"
"Assets/_Project/Editor/ShipSummaryWindow.cs",32,"spatial-member","private Vector2 _tableScroll;"
"Assets/_Project/Editor/ShipSummaryWindow.cs",33,"spatial-member","private Vector2 _detailScroll;"
"Assets/_Project/Editor/Tools/NpcShipScheduleOverviewWindow.cs",28,"spatial-member","private Vector2 _scrollSchedules;"
"Assets/_Project/Editor/Tools/NpcShipScheduleOverviewWindow.cs",32,"spatial-member","private Vector2 _scrollShips;"
"Assets/_Project/Editor/Tools/NpcShipScheduleOverviewWindow.cs",38,"spatial-member","private Vector2 _scrollCargo;"
"Assets/_Project/Editor/Tools/NpcWorldInspectorData.cs",31,"spatial-member","public Vector3 position;"
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",44,"spatial-member","private Vector2 _scrollFactionList;"
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",45,"spatial-member","private Vector2 _scrollFactionDetail;"
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",49,"spatial-member","private Vector2 _scrollNpcs;"
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",50,"spatial-member","private Vector2 _scrollDb;"
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",289,"position-access","entry.position.x:F0},{entry.position.y:F0},{entry.position.z:F0}"","
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",807,"position-access","transform.position,"
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",859,"position-access","transform.position,"
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",916,"position-access","transform.position,"
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",976,"position-access","transform.position,"
"Assets/_Project/Editor/Tools/NpcWorldInspectorWindow.cs",1074,"position-access","transform.position, entry.position) < 0.1f)"
"Assets/_Project/Editor/_Editor_Temp/ReskinFemalePilot.cs",19,"lifecycle-placement","Instantiate(srcPrefab);"
"Assets/_Project/Editor/_Editor_Temp/ReskinFemalePilot.cs",20,"lifecycle-placement","Instantiate(tgtPrefab);"
"Assets/_Project/Items/Client/InventoryClientState.cs",63,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Items/Dto/InventoryItemDto.cs",7,"network-serialization","INetworkSerializable для одного stack'а в инвентаре."
"Assets/_Project/Items/Dto/InventoryItemDto.cs",27,"network-serialization","INetworkSerializable, IEquatable<InventoryItemDto>"
"Assets/_Project/Items/Dto/InventoryItemDto.cs",36,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> serializer) where T : IReaderWriter"
"Assets/_Project/Items/Dto/InventoryItemDto.cs",38,"network-serialization","SerializeValue(ref itemId);"
"Assets/_Project/Items/Dto/InventoryItemDto.cs",39,"network-serialization","SerializeValue(ref type);"
"Assets/_Project/Items/Dto/InventoryItemDto.cs",40,"network-serialization","SerializeValue(ref quantity);"
"Assets/_Project/Items/Dto/InventoryItemDto.cs",41,"network-serialization","SerializeValue(ref slotIndex);"
"Assets/_Project/Items/Dto/InventoryItemDto.cs",42,"network-serialization","SerializeValue(ref instanceId);"
"Assets/_Project/Items/Dto/InventoryItemDto.cs",46,"network-serialization","SerializeValue(ref hasName);"
"Assets/_Project/Items/Dto/InventoryItemDto.cs",50,"network-serialization","SerializeValue(ref itemName);"
"Assets/_Project/Items/Dto/InventoryResultDto.cs",33,"network-serialization","INetworkSerializable"
"Assets/_Project/Items/Dto/InventoryResultDto.cs",43,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> serializer) where T : IReaderWriter"
"Assets/_Project/Items/Dto/InventoryResultDto.cs",45,"network-serialization","SerializeValue(ref code);"
"Assets/_Project/Items/Dto/InventoryResultDto.cs",49,"network-serialization","SerializeValue(ref hasMsg);"
"Assets/_Project/Items/Dto/InventoryResultDto.cs",53,"network-serialization","SerializeValue(ref message);"
"Assets/_Project/Items/Dto/InventoryResultDto.cs",60,"network-serialization","SerializeValue(ref itemId);"
"Assets/_Project/Items/Dto/InventoryResultDto.cs",61,"network-serialization","SerializeValue(ref slotIndex);"
"Assets/_Project/Items/Dto/InventoryResultDto.cs",62,"network-serialization","SerializeValue(ref newCredits);"
"Assets/_Project/Items/Dto/InventorySnapshotDto.cs",34,"network-serialization","INetworkSerializable"
"Assets/_Project/Items/Dto/InventorySnapshotDto.cs",41,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> serializer) where T : IReaderWriter"
"Assets/_Project/Items/Dto/InventorySnapshotDto.cs",46,"network-serialization","SerializeValue(ref hasLoc);"
"Assets/_Project/Items/Dto/InventorySnapshotDto.cs",50,"network-serialization","SerializeValue(ref locationId);"
"Assets/_Project/Items/Dto/InventorySnapshotDto.cs",59,"network-serialization","SerializeValue(ref len);"
"Assets/_Project/Items/Dto/InventorySnapshotDto.cs",67,"network-serialization","NetworkSerialize(serializer);"
"Assets/_Project/Items/Dto/InventorySnapshotDto.cs",72,"network-serialization","SerializeValue(ref maxSlots);"
"Assets/_Project/Items/Dto/InventorySnapshotDto.cs",73,"network-serialization","SerializeValue(ref credits);"
"Assets/_Project/Items/Network/InventoryServer.cs",88,"spatial-rpc-signature","public void RequestPickupRpc(int itemId, byte typeByte, int instanceId, Vector3 worldPos, RpcParams rpcParams = default)"
"Assets/_Project/Items/Network/InventoryServer.cs",140,"spatial-rpc-signature","public void RequestDropRpc(int slotIndex, int quantity, Vector3 worldPos, Vector3 playerPos, RpcParams rpcParams = default)"
"Assets/_Project/Items/Network/InventoryServer.cs",107,"position-access","transform.position;"
"Assets/_Project/Items/Network/InventoryServer.cs",161,"lifecycle-placement","Instantiate(_dropPickupPrefab, worldPos, Quaternion.identity);"
"Assets/_Project/Quests/Bridges/ContractMetaBridge.cs",39,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Quests/Client/QuestClientState.cs",50,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Quests/Client/QuestClientState.cs",160,"lifecycle-placement","DontDestroyOnLoad(go);"
"Assets/_Project/Quests/Core/QuestWorld.cs",1086,"position-access","transform.position lookup."
"Assets/_Project/Quests/Dto/DialogStepDto.cs",2,"network-serialization","INetworkSerializable."
"Assets/_Project/Quests/Dto/DialogStepDto.cs",8,"network-serialization","INetworkSerializable"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",18,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> s) where T : IReaderWriter"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",27,"network-serialization","SerializeValue(ref tree);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",28,"network-serialization","SerializeValue(ref node);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",29,"network-serialization","SerializeValue(ref npc);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",30,"network-serialization","SerializeValue(ref npcName);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",31,"network-serialization","SerializeValue(ref text);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",33,"network-serialization","SerializeValue(ref isEnd);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",40,"network-serialization","SerializeValue(ref len);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",45,"network-serialization","NetworkSerialize(s);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",51,"network-serialization","INetworkSerializable"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",58,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> s) where T : IReaderWriter"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",61,"network-serialization","SerializeValue local var содержит значение,"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",66,"network-serialization","SerializeValue(ref lbl);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",67,"network-serialization","SerializeValue(ref reason);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",70,"network-serialization","SerializeValue(ref index);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",71,"network-serialization","SerializeValue(ref available);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",75,"network-serialization","INetworkSerializable"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",83,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> s) where T : IReaderWriter"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",89,"network-serialization","SerializeValue(ref err);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",90,"network-serialization","SerializeValue(ref dat);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",92,"network-serialization","SerializeValue(ref actionType);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",93,"network-serialization","SerializeValue(ref success);"
"Assets/_Project/Quests/Dto/DialogStepDto.cs",94,"network-serialization","SerializeValue(ref intParam);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",10,"network-serialization","INetworkSerializable"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",19,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> s) where T : IReaderWriter"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",21,"network-serialization","SerializeValue(ref questId);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",22,"network-serialization","SerializeValue(ref displayName);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",23,"network-serialization","SerializeValue(ref state);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",24,"network-serialization","SerializeValue(ref currentStageId);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",25,"network-serialization","SerializeValue(ref isTracked);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",32,"network-serialization","SerializeValue(ref len);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",37,"network-serialization","NetworkSerialize(s);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",44,"network-serialization","INetworkSerializable"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",52,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> s) where T : IReaderWriter"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",54,"network-serialization","SerializeValue(ref objectiveId);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",55,"network-serialization","SerializeValue(ref description);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",56,"network-serialization","SerializeValue(ref completed);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",57,"network-serialization","SerializeValue(ref currentValue);"
"Assets/_Project/Quests/Dto/QuestProgressDto.cs",58,"network-serialization","SerializeValue(ref requiredQuantity);"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",20,"network-serialization","INetworkSerializable"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",26,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> s) where T : IReaderWriter"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",28,"network-serialization","SerializeValue(ref code);"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",29,"network-serialization","SerializeValue(ref questId);"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",30,"network-serialization","SerializeValue(ref message);"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",42,"network-serialization","INetworkSerializable"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",50,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> s) where T : IReaderWriter"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",52,"network-serialization","SerializeValue(ref code);"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",53,"network-serialization","SerializeValue(ref faction);"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",54,"network-serialization","SerializeValue(ref newValue);"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",55,"network-serialization","SerializeValue(ref delta);"
"Assets/_Project/Quests/Dto/QuestResultDto.cs",56,"network-serialization","SerializeValue(ref message);"
