asset_path,object_path,active_self,components,network_transform,mesh_local_max_abs
"Assets/_Project/Prefabs/NPC/Ships/Captains/albatros_Captain.prefab","albatros_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/albatros_Captain.prefab","albatros_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/albatros_Captain.prefab","albatros_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/bereg_Captain.prefab","bereg_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/bereg_Captain.prefab","bereg_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/bereg_Captain.prefab","bereg_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/citadel_Captain.prefab","citadel_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/citadel_Captain.prefab","citadel_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/citadel_Captain.prefab","citadel_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/gigant_Captain.prefab","gigant_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/gigant_Captain.prefab","gigant_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/gigant_Captain.prefab","gigant_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/letuchiy_Captain.prefab","letuchiy_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/letuchiy_Captain.prefab","letuchiy_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/letuchiy_Captain.prefab","letuchiy_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/lorein_Captain.prefab","lorein_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/lorein_Captain.prefab","lorein_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/lorein_Captain.prefab","lorein_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/mastodont_Captain.prefab","mastodont_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/mastodont_Captain.prefab","mastodont_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/mastodont_Captain.prefab","mastodont_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/npc_reference_ship_Captain.prefab","npc_reference_ship_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/npc_reference_ship_Captain.prefab","npc_reference_ship_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/npc_reference_ship_Captain.prefab","npc_reference_ship_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/olimp_Captain.prefab","olimp_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/olimp_Captain.prefab","olimp_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/olimp_Captain.prefab","olimp_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/peshchera_Captain.prefab","peshchera_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/peshchera_Captain.prefab","peshchera_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/peshchera_Captain.prefab","peshchera_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/reka_Captain.prefab","reka_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/reka_Captain.prefab","reka_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/reka_Captain.prefab","reka_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/shmel_Captain.prefab","shmel_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/shmel_Captain.prefab","shmel_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/shmel_Captain.prefab","shmel_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/silfida_Captain.prefab","silfida_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/silfida_Captain.prefab","silfida_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/silfida_Captain.prefab","silfida_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/skat_Captain.prefab","skat_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/skat_Captain.prefab","skat_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/skat_Captain.prefab","skat_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/strannik_Captain.prefab","strannik_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/strannik_Captain.prefab","strannik_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/strannik_Captain.prefab","strannik_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/torrens_Captain.prefab","torrens_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/torrens_Captain.prefab","torrens_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/torrens_Captain.prefab","torrens_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/ugolshchik_Captain.prefab","ugolshchik_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/ugolshchik_Captain.prefab","ugolshchik_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/ugolshchik_Captain.prefab","ugolshchik_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/vavilon_Captain.prefab","vavilon_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/vavilon_Captain.prefab","vavilon_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/vavilon_Captain.prefab","vavilon_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/vetrovorot_Captain.prefab","vetrovorot_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/vetrovorot_Captain.prefab","vetrovorot_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/vetrovorot_Captain.prefab","vetrovorot_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Captains/zhuk_Captain.prefab","zhuk_Captain[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Captains/zhuk_Captain.prefab","zhuk_Captain[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Captains/zhuk_Captain.prefab","zhuk_Captain[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/Ships/Gorgona_Pilot.prefab","Gorgona_Pilot[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/Ships/Gorgona_Pilot.prefab","Gorgona_Pilot[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/Ships/Gorgona_Pilot.prefab","Gorgona_Pilot[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC/[Mira] - DON`T DELETE DEFOULT.prefab","[Mira] - DON`T DELETE DEFOULT[0]",true,"UnityEngine.Transform;UnityEngine.CapsuleCollider;ProjectC.Quests.NpcController;Unity.Netcode.NetworkObject;UnityEngine.AI.NavMeshAgent;ProjectC.AI.NpcBrain;ProjectC.Combat.NpcTarget;ProjectC.Combat.NpcAttacker;ProjectC.AI.NpcSocialBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.CharacterController","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC/[Mira] - DON`T DELETE DEFOULT.prefab","[Mira] - DON`T DELETE DEFOULT[0]/Text (TMP)[0]",true,"UnityEngine.RectTransform;UnityEngine.MeshRenderer;TMPro.TextMeshPro;ProjectC.UI.Billboard","",
"Assets/_Project/Prefabs/NPC/[Mira] - DON`T DELETE DEFOULT.prefab","[Mira] - DON`T DELETE DEFOULT[0]/Visual[1]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/NPC_Ship_HeavyII_03.prefab","NPC_Ship_HeavyII_03[0]",true,"UnityEngine.Transform;UnityEngine.Rigidbody;Unity.Netcode.NetworkObject;ProjectC.Player.ShipController;ProjectC.PeacefulShip.Stations.NpcShipController;ProjectC.PeacefulShip.Stations.NpcProximityZone;ProjectC.Ship.ShipDeckNav","",
"Assets/_Project/Prefabs/NPC_Ship_HeavyII_03.prefab","NPC_Ship_HeavyII_03[0]/Cube[0]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer;ProjectC.Ship.ShipRootReference;UnityEngine.BoxCollider","",0.5
"Assets/_Project/Prefabs/NPC_Ship_HeavyII_03.prefab","NPC_Ship_HeavyII_03[0]/PilotSeat[1]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer;UnityEngine.BoxCollider;ProjectC.Ship.PilotSeatController;ProjectC.Ship.ShipRootReference","",0.5
"Assets/_Project/Prefabs/NPC_Ship_HeavyII_03.prefab","NPC_Ship_HeavyII_03[0]/DeckNavSurface[2]",true,"UnityEngine.Transform;Unity.AI.Navigation.NavMeshSurface","",
"Assets/_Project/Prefabs/NPC_Ship_HeavyII_03.prefab","NPC_Ship_HeavyII_03[0]/ShipCargoVisual[3]",true,"UnityEngine.Transform;ProjectC.Ship.Cargo.ShipCargoVisual;UnityEngine.BoxCollider;ProjectC.Ship.ShipRootReference","",
"Assets/_Project/Prefabs/NPC_ZONES/Npc_peacfull_market_zone Variant.prefab","Npc_peacfull_market_zone Variant[0]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;UnityEngine.CharacterController;UnityEngine.AI.NavMeshAgent;ProjectC.Combat.NpcAttacker;ProjectC.Combat.NpcTarget;ProjectC.AI.NpcBrain;Unity.Netcode.Components.NetworkTransform;UnityEngine.SphereCollider;ProjectC.Trade.Network.MarketZone","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/NPC_ZONES/Npc_peacfull_market_zone Variant.prefab","Npc_peacfull_market_zone Variant[0]/Visual[0]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
